Nilgiris	Tamil Nadu	CSI College of Engineering, Ketti
Chennai	Tamil Nadu	D M I College of Engineering, Palanchoor
Kanyakumari	Tamil Nadu	D M I Engineering College, Aralvaimozhi
Chennai	Tamil Nadu	Dhaanish Ahmed College of Engineering, Padappai
Coimbatore	Tamil Nadu	Dhaanish Ahmed Institute of Technology, Pichanur
Chennai	Tamil Nadu	Dhanalakshmi College of Engineering, Manimangalam
Coimbatore	Tamil Nadu	Dhanalakshmi Srinivasan College of Engineering (CBE)
Chennai	Tamil Nadu	Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road
Perambalur	Tamil Nadu	Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road
Salem	Tamil Nadu	Dhirajlal Gandhi College of Technology, Sikkanampatty
Thoothukudi	Tamil Nadu	Dr. G U Pope College of Engineering, Sawyerpuram
Coimbatore	Tamil Nadu	Dr. Mahalingam College of Engineering and Technology (Autonomous), Mackinaickenpatti
Coimbatore	Tamil Nadu	Dr. N G P Institute of Technology, Kalapatti
Thoothukudi	Tamil Nadu	Dr. Sivanthi Aditanar College of Engineering, Tiruchendur
Cuddalore	Tamil Nadu	Dr.Navalar Nedunchezhiyan College of Engineering,Raja Nagar
Nagapattinam	Tamil Nadu	E G S Pillay Engineering College (Autonomous), Nagapattinam
Viluppuram	Tamil Nadu	E S Engineering College, Chennai Trunk Road
Coimbatore	Tamil Nadu	Easa College of Engineering and Technology
Chennai	Tamil Nadu	Easwari Engineering College (Autonomous), Ramapuram
Tirunelveli	Tamil Nadu	Einstein College of Engineering, Seethaparpanallur
Krishnagiri	Tamil Nadu	Er. Perumal Manimekalai College of Engineering, Near Koneripalli
Erode	Tamil Nadu	Erode Sengunthar Engineering College (Autonomous), Thudupathi
Salem	Tamil Nadu	Excel Engineering College (Autonomous)
Sivaganga	Tamil Nadu	Fatima Michael College of Engineering and Technology, Sengottai Village
Tirunelveli	Tamil Nadu	Francis Xavier Engineering College (Autonomous), Vannarpettai
Chennai	Tamil Nadu	G K M College of Engineering and Technology, Alappakkam-Mappedu Road
Tiruvallur	Tamil Nadu	G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar
Vellore	Tamil Nadu	Ganadipathy Tulsi\[CloseCurlyQuote]s Jain Engineering College, Kaniyambadi
Ramanathapuram	Tamil Nadu	Ganapathy Chettiar College of Engineering and Technology, Melakavanur
Salem	Tamil Nadu	Ganesh College of Engineering, Attur
Ranipet	Tamil Nadu	Global Institute of Engineering and Technology
Namakkal	Tamil Nadu	Gnanamani College of Technology, Pachal
Chennai	Tamil Nadu	Gojan School of Business and Technology, Alamathi
Kanyakumari	Tamil Nadu	Good Shepherd College of Engineering and Technology, Maruthamparai
Krishnagiri	Tamil Nadu	Government College of Engineering (Autonomous), Bargur
Salem	Tamil Nadu	Government College of Engineering (Autonomous), Karuppur
Erode	Tamil Nadu	Government College of Engineering (Formerly Institute of Road and Transport Technology)
Dharmapuri	Tamil Nadu	Government College of Engineering, Chettikkarai
Thanjavur	Tamil Nadu	Government College of Engineering, Gandarvakottai Road
Theni	Tamil Nadu	Government College of Engineering, Melachokkanathapuram
Tiruchirappalli	Tamil Nadu	Government College of Engineering, Srirangam
Tirunelveli	Tamil Nadu	Government College of Engineering
Coimbatore	Tamil Nadu	Government College of Technology (Autonomous), Thadagam
