Kancheepuram	Tamil Nadu	Sri Venkateswara College of Engineering (Autonomous)
Tiruvallur	Tamil Nadu	Sri Venkateswara College of Engineering and Technology, Thirupachur
Tiruvallur	Tamil Nadu	Sri Venkateswara Institute of Science and Technology, Kozhundalur
Kancheepuram	Tamil Nadu	Sri Venkateswaraa College of Technology, Sirukulathur
Virudhunagar	Tamil Nadu	Sri Vidya College of Engineering and Technology, Sivakasi Main Road
Tiruchirappalli	Tamil Nadu	SRM TRP Engineering College, Irungalur
Chennai	Tamil Nadu	SRM Valliammai Engineering College (Autonomous), Kattankulathur
Dindigul	Tamil Nadu	SSM Institute of Engineering and Technology, Kuttathupatti Village
Cuddalore	Tamil Nadu	St. Anne's College of Engineering and Technology, Anguchettypalayam
Kancheepuram	Tamil Nadu	St. Joseph College of Engineering, Trinity Campus
Chennai	Tamil Nadu	St. Joseph College of Engineering (Autonomous), Old Mahabalipuram Road (OMR)
Thanjavur	Tamil Nadu	St. Joseph's College of Engineering and Technology, Elupatti Village
Chennai	Tamil Nadu	St. Josephs Institute of Technology (Autonomous), Jeppiaar Nagar
Sivaganga	Tamil Nadu	St. Michael College of Engineering and Technology, Kalayarkoil
Thoothukudi	Tamil Nadu	St. Mother Theresa Engineering College, Vagaikulam
Chennai	Tamil Nadu	St. Peters College of Engineering and Technology, College Road
Kanyakumari	Tamil Nadu	St. Xavier's Catholic College of Engineering, Chunkankadai
Thanjavur	Tamil Nadu	Star Lion College of Engineering and Technology
Kanyakumari	Tamil Nadu	Stella Mary's College of Engineering, Arunthengan Vilai
Coimbatore	Tamil Nadu	Studyworld College of Engineering, Madukarai
Pudukkottai	Tamil Nadu	Sudharsan Engineering College, Sathiyamangalam
Coimbatore	Tamil Nadu	Suguna College of Engineering, Kalappatti Road
Kanyakumari	Tamil Nadu	Sun College of Engineering and Technology
Tiruchirappalli	Tamil Nadu	Surya College of Engineering, Konalai
Erode	Tamil Nadu	Surya Engineering College, Mettukadai
Viluppuram	Tamil Nadu	Surya Group of Institutions
Ramanathapuram	Tamil Nadu	Syed Ammal Engineering College, Achuthan Vayal
Tiruvallur	Tamil Nadu	T J S Engineering College, Peruvoyal
Chennai	Tamil Nadu	T.J Institute of Technology, Karapakkam
Chennai	Tamil Nadu	Tagore Engineering College, Rathnamangalam
Salem	Tamil Nadu	Tagore Institute of Engineering and Technology, Deviyakurichi
Coimbatore	Tamil Nadu	Tamilnadu College of Engineering, Karumathampatti
Tirunelveli	Tamil Nadu	Thamirabharani Engineering College, Chathirampudukulam Village
Chennai	Tamil Nadu	Thangavelu Engineering College, Karappakkam
Vellore	Tamil Nadu	Thanthai Periyar Government Institute of Technology, Bagayam
Salem	Tamil Nadu	The Kavery Engineering College
Theni	Tamil Nadu	Theni Kammavar Sangam College of Technology, Theni Main Road
Madurai	Tamil Nadu	Thiagarajar College of Engineering (Autonomous),Tirupparankundram
Kancheepuram	Tamil Nadu	Thirumalai Engineering College, Kilambi
Tiruvannamalai	Tamil Nadu	Thiruvalluvar College of Engineering and Technology, Vandavasi
Tiruchirappalli	Tamil Nadu	Tiruchirappalli Engineering College, Konalai
Kanyakumari	Tamil Nadu	Udaya School of Engineering, Ammandivilai
Madurai	Tamil Nadu	Ultra College of Engineering and Technology, Kodikulam
Coimbatore	Tamil Nadu	United Institute of Technology, Gadalore Village
Tirunelveli	Tamil Nadu	Universal College of Engineering and Technology, Anbagam Campus
Ariyalur	Tamil Nadu	University College of Engineering, Ariyalur
Tiruvannamalai	Tamil Nadu	University College of Engineering, Arni
Dindigul	Tamil Nadu	University College of Engineering, Dindigul
Kancheepuram	Tamil Nadu	University College of Engineering, Kancheepuram (Kanchipuram)
Kanyakumari	Tamil Nadu	University College of Engineering, Nagercoil
Cuddalore	Tamil Nadu	University College of Engineering, Panruti
Thanjavur	Tamil Nadu	University College of Engineering, Pattukkottai
Ramanathapuram	Tamil Nadu	University College of Engineering, Ramanathapuram
Nagapattinam	Tamil Nadu	University College of Engineering, Thirukkuvalai
Viluppuram	Tamil Nadu	University College of Engineering, Tindivanam
Tiruchirappalli	Tamil Nadu	University College of Engineering, Tiruchirappalli
Viluppuram	Tamil Nadu	University College of Engineering, Viluppuram
Chennai	Tamil Nadu	University Departments of Anna University, Chennai - ACT Campus
Chennai	Tamil Nadu	University Departments of Anna University, Chennai - CEG Campus
Chennai	Tamil Nadu	University Departments of Anna University, Chennai - MIT Campus
Thoothukudi	Tamil Nadu	University V.O.C. College of Engineering, Thoothukudi
Thoothukudi	Tamil Nadu	Unnamalai Institute of Technology, Ayyaneri
Viluppuram	Tamil Nadu	V R S College of Engineering and Technology, Arasur
Salem	Tamil Nadu	V S A Group of Institutions
Coimbatore	Tamil Nadu	V S B College of Engineering Technical Campus, Ealur Pirivu
Karur	Tamil Nadu	V S B Engineering College
Thoothukudi	Tamil Nadu	V V College of Engineering, Arasoor Village
Madurai	Tamil Nadu	Vaigai College of Engineering, Therkutheru
Thanjavur	Tamil Nadu	Vandayar Engineering College, Pulavarnatham
Dharmapuri	Tamil Nadu	Varuvan Vadivelan Institute of Technology, Nallanahalli
Dindigul	Tamil Nadu	Veerammal Engineering College
Chennai	Tamil Nadu	Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road
Chennai	Tamil Nadu	Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road
Erode	Tamil Nadu	Velalar College of Engineering and Technology (Autonomous), Thindal
Madurai	Tamil Nadu	Velammal College of Engineering and Technology
Chennai	Tamil Nadu	Velammal Engineering College (Autonomous)
Tiruvallur	Tamil Nadu	Velammal Institute of Technology
Tiruchirappalli	Tamil Nadu	Vetri Vinayaha College of Engineering and Technology, Namakkal-Tiruchirappalli Main Road
Chengalpattu	Tamil Nadu	Vi Institute of Technology
Namakkal	Tamil Nadu	Vidyaa Vikas College of Engineering and Technology, Varahoorampatti
Kanyakumari	Tamil Nadu	Vins Christian College of Engineering, Chunkankadai
Namakkal	Tamil Nadu	Vivekanandha College of Technology for Women, Sathinaickenpalayam
Virudhunagar	Tamil Nadu	Sri Vidya College of Engineering and Technology, Sivakasi Main Road, P Kumaralinapuram, Virudhunagar District 626005
